gene_family,class,gene_length,Ls,Ls_keep,pi_s,thetaW_s,n_median,seg_s_sites,number_genomes
g000332,2fold,1536,147,29,0.0016308555328519,0.0116551804871292,209,2,209
g000333_2,4fold,1536,206,60,0.0637969128723377,0.0742409578080738,34,19,58
g000333_2,2fold,1536,148,51,0.041218963332379,0.0462540611982705,43,10,58
g000371,4fold,3117,485,63,0.00226797302450716,0.0161149663049825,208,6,210
g000371,2fold,3117,304,43,0.0112314622918103,0.00786366647614729,208,2,210
g000374,4fold,1869,308,70,0.00813545226258628,0.0163431953455695,256,7,256
g000374,2fold,1869,212,53,0.00145787088420274,0.00924831964518611,256,3,256
g000378,4fold,1350,246,90,0.0189184594953519,0.0327844511911075,251,18,251
g000378,2fold,1350,136,42,0.0251899070385126,0.0234166116071217,251,6,251
g000382,4fold,1089,184,63,0.0215050027793219,0.0440604295609664,257,17,257
g000382,2fold,1089,113,49,0.014873094179306,0.0366553153490392,257,11,257
g000403,4fold,891,146,72,0.0323193755575283,0.0408496549493433,256,18,256
g000403,2fold,891,76,40,0.014344362745098,0.0163386980398288,256,4,256
g000406,4fold,2766,398,63,0.0459467433151644,0.0348730400289499,209,13,209
g000406,2fold,2766,359,48,0.01697836155073,0.017604178860768,209,5,209
g000421,4fold,1233,190,77,0.0208759978653936,0.0235201597312815,245,11,245
g000421,2fold,1233,105,30,0.0198635360305142,0.0109787764170915,245,2,245
g000439,4fold,1524,220,69,0.00282629218520739,0.0165968008762114,254,7,254
g000439,2fold,1524,195,50,0.00909277644642246,0.0032719407441674,254,1,254
g000441,4fold,1188,149,53,0.0112116900482387,0.0184887742318594,257,6,257
g000441,2fold,1188,165,49,0.0130678584663437,0.0129410204680429,257,3,257
g000462,4fold,1260,222,64,0.0196566451848249,0.0306155190699362,257,12,257
g000462,2fold,1260,116,41,0.00549403293157445,0.0119475196370483,257,3,257
g000468,4fold,630,91,67,0.0488239182815592,0.0778268840603268,215,31,215
g000468,2fold,630,43,31,0.0391527788489178,0.0705328371156398,215,13,215
g000485,4fold,1203,212,79,0.0119337925043435,0.0186137066276531,256,9,256
g000485,2fold,1203,71,29,0.00760437795807978,0.0169021014205126,256,3,256
g000516_1,4fold,894,111,59,0.00826122191089215,0.00956182119452556,115,3,116
g000516_1,2fold,894,138,64,0.0253803608064389,0.0146864464151509,114,5,116
g000516_2,4fold,894,115,56,0.0456045797412266,0.0294748484316348,72,8,75
g000516_2,2fold,894,132,63,0.0139545980674946,0.0130998359667634,72,4,75
g000516_3,4fold,894,90,42,0.0720730086906558,0.137309287238445,18,20,29
g000516_3,2fold,894,99,41,0.0407163177966621,0.0926003849249032,18,13,29
g000532,4fold,1137,161,65,0.00295083402653124,0.0100822184087324,252,4,252
g000532,2fold,1137,150,61,0.0220794386855389,0.0134287459290742,252,5,252
g000583,4fold,1209,214,81,0.00190442689421448,0.0161369857183494,256,8,256
g000583,2fold,1209,112,42,0.00165805905695612,0.015560664799837,256,4,256
g000634,4fold,1137,176,71,0.0249292118699537,0.0322186264812366,256,14,256
g000634,2fold,1137,118,45,0.0537150258178512,0.0326820518392916,256,9,256
g000645,4fold,882,124,53,0.0123870576646208,0.0340426808580033,250,11,250
g000645,2fold,882,54,29,0.0479158011355768,0.0226239759934066,250,4,250
g000647,4fold,663,82,48,0.0234140182310914,0.0476808522743996,165,13,165
g000647,2fold,663,63,39,0.0136638429321356,0.0406274717604351,165,9,165
g000730,4fold,654,102,70,0.0365964712578259,0.0374665785713947,251,16,251
g000730,2fold,654,67,47,0.0265084343477155,0.013950321808498,251,4,251
g000747,4fold,1398,222,72,0.0272858149598234,0.0352102663930303,209,15,209
g000747,2fold,1398,147,52,0.0506162759232201,0.0325026652881022,209,10,209
g000752,4fold,1563,273,77,0.031968031968032,0.0304938766085802,143,13,143
g000752,2fold,1563,131,38,0.0168371287718953,0.014259282381745,143,3,143
g000759,4fold,1521,266,65,0.0136473939839875,0.018279347550138,204,7,204
g000759,2fold,1521,145,42,0.00444545634345691,0.0121211596016339,204,3,204
g000814,4fold,873,143,87,0.0134217402356382,0.0272638054525378,206,14,206
g000814,2fold,873,84,37,0.00153599016966292,0.00457878562050873,206,1,206
g000817,4fold,894,111,51,0.0459989215856385,0.061027052813891,183,18,183
g000817,2fold,894,105,49,0.022544200530149,0.014113609535816,183,4,183
g000830,4fold,768,133,67,0.0212783994515782,0.0281076720381526,254,10,254
g000830,2fold,768,81,46,0.0315308171291116,0.0142351073386371,254,4,254
g000839_2,4fold,1983,204,39,0,0,2,0,2
g000839_2,2fold,1983,150,39,0.0256410256410256,0.0256410256410256,2,1,2
g000841,4fold,1671,270,71,0.00415746283464931,0.0209758580806039,237,9,237
g000841,2fold,1671,192,43,0.00977599044687153,0.00769656808125519,237,2,237
g000849_1,4fold,1479,260,70,0.032946420681077,0.0466942319159684,257,20,257
g000849_1,2fold,1479,158,40,0.0181113482559542,0.0245344276367765,253,6,257
g000849_2,4fold,1503,280,82,0.0627177700348432,0.0686908909905426,3,10,7
g000849_2,2fold,1503,172,49,0.0194363459669582,0.0219353047341386,7,2,7
g000872_2,4fold,618,95,62,0.0159795177477431,0.0214740504528966,229,8,229
g000872_2,2fold,618,96,67,0.0194431199552685,0.0149036320307417,229,6,229
g000874,4fold,570,89,68,0.0401144735017077,0.0245419822579112,149,9,149
g000874,2fold,570,34,29,0.0336696335307768,0.0309107023266875,149,5,149
g000911,4fold,1038,130,57,0.0123915244771926,0.0157973966408599,191,5,213
g000911,2fold,1038,118,40,0.00850495804729214,0.00940239564378285,191,2,213
g000916,4fold,858,161,80,0.000681295955882353,0.010211686274893,256,5,256
g000916,2fold,858,63,32,0.00713752297794118,0.010211686274893,256,2,256
g000935,4fold,1668,277,73,0.0222992187236441,0.0230717785318929,118,9,118
g000935,2fold,1668,197,42,0.0110615027330399,0.0267483265495879,118,6,118
g000936,4fold,1818,146,37,0.0310949490734081,0.0392206616955378,143,8,143
g000936,2fold,1818,93,27,0.0109363771335602,0.0133790797655879,143,2,143
g000945,4fold,1569,249,65,0.0157203796217249,0.0179792461394817,225,7,225
g000945,2fold,1569,202,52,0.015248778998779,0.0160494686049336,225,5,225
g000954,4fold,1134,116,44,0.0281823646872103,0.0629295509884864,182,16,183
g000954,2fold,1134,155,56,0.0490262390061192,0.0463602526054086,182,15,183
g000990,4fold,3027,463,64,0.00185085486512163,0.0133000676609,200,5,201
g000990,2fold,3027,401,57,0,0,200,0,201
g001028,4fold,876,137,66,0.00857710339207958,0.0148724579280336,254,6,254
g001028,2fold,876,94,52,0.0204158217680984,0.0157304843469586,254,5,254
g001037,4fold,2613,315,52,0.00531811288729357,0.0149610689055744,96,4,97
g001037,2fold,2613,403,59,0.000698780850431164,0.00329984602974838,96,1,97
g001058,4fold,1368,230,75,0.041659490393289,0.0473965192015043,118,19,119
g001058,2fold,1368,93,29,0.0626763975682737,0.0322651308970917,118,5,119
g001074,4fold,1221,226,75,0.0228207151964058,0.0230741482992329,182,10,182
g001074,2fold,1221,98,38,0.00445120450936095,0.0136623246508616,182,3,182
g001091,4fold,888,129,63,0.0262429971988795,0.0233426599710533,256,9,256
g001091,2fold,888,92,41,0.0365691991946497,0.0318855097560094,256,8,256
g001093,4fold,834,87,48,0.00455040732452868,0.0280543307699542,214,8,214
g001093,2fold,834,122,67,0.00108841078273238,0.00502465625730523,214,2,214
g001118,4fold,1671,278,69,0.0342885528055796,0.0284333452156614,255,12,255
g001118,2fold,1671,190,54,0.0216915695995517,0.0121104988881521,255,4,255
g001121,4fold,1839,286,65,0.00441925543532,0.0178474008151237,235,7,235
g001121,2fold,1839,241,64,0.00567262229496272,0.00517840902465782,235,2,235
g001134,4fold,1518,254,70,0.0332499688357018,0.031843442143539,192,13,192
g001134,2fold,1518,176,55,0.00591682532127558,0.0187052387416593,192,6,192
g001145,4fold,1158,172,65,0.0245754245754246,0.0197101457260332,133,7,133
g001145,2fold,1158,115,43,0.00136705399863294,0.00425634376143575,133,1,133
g001146,4fold,1158,178,73,0.0208981747895439,0.0498695438689548,237,22,237
g001146,2fold,1158,122,49,0.0206213152134459,0.0202647630799233,237,6,237
g001147,4fold,1155,138,51,0.0545492060522877,0.0575953749443946,184,17,184
g001147,2fold,1155,173,63,0.020786351226225,0.0191972393597556,184,7,184
g001150,4fold,1209,127,43,0.00325886914331022,0.0126663625926463,139,3,139
g001150,2fold,1209,189,69,0.009392863780809,0.00789353031135928,139,3,139
g001151,4fold,1194,208,74,0.00701537658059399,0.0411415641269904,208,18,208
g001151,2fold,1194,90,28,0.00171371502893243,0.0241625059158515,208,4,208
g001162,4fold,807,148,74,0.00266162648908284,0.0132575096237653,255,6,255
g001162,2fold,807,68,39,0.00274500634570715,0.0167737831896627,255,4,255
g001179,4fold,699,101,59,0.019705967561087,0.0201672523085126,202,7,202
g001179,2fold,699,73,46,0.00732133563778182,0.00369524188261566,202,1,202
g001192,4fold,2010,300,62,0.0196228210779403,0.0342229693123518,161,12,161
g001192,2fold,2010,266,57,0.0045412444153863,0.00620416402738542,161,2,161
g001206,4fold,1461,163,47,0.0135731351485483,0.0270294625980526,139,7,140
g001206,2fold,1461,191,54,0.00329012152596763,0.0134482368267603,139,4,140
g001217,4fold,1269,220,79,0.0327302200290829,0.0284259887397162,118,12,118
g001217,2fold,1269,137,49,0.0161538757180404,0.0190956897146053,118,5,118
g001227,4fold,1224,166,63,0.00969893957271235,0.040425520486389,93,13,93
g001227,2fold,1224,155,51,0.0342014318583909,0.0460960686089141,93,12,93
g001232,4fold,1200,207,78,0.0281123699728351,0.0172371501611067,216,8,216
g001232,2fold,1200,132,48,0.0415697674418605,0.0210077767588488,216,6,216
g001247,4fold,825,88,44,0.00946142985209922,0.0155696804610602,235,4,250
g001247,2fold,825,112,56,0.00190136666310552,0.0061422038522742,244,2,250
g001253,4fold,927,169,75,0.00954678362573099,0.0207670310138831,96,8,96
g001253,2fold,927,82,34,0,0,96,0,96
g001254,4fold,918,124,66,0.00764433927830224,0.00747712826774091,245.5,3,249
g001254,2fold,918,106,53,0.00137244420363236,0.0186098985812319,247,6,249
g001257,4fold,699,77,46,0.00289486814157131,0.0249205752214514,253,7,254
g001257,2fold,699,62,40,0.000986592411819271,0.0163703311961965,253,4,254
g001303,4fold,1086,193,78,0.00629071717965437,0.0150943053787908,215,7,215
g001303,2fold,1086,116,39,0.00343069232441108,0.017250634718618,215,4,215
g001308,4fold,1197,173,73,0.0109005674187483,0.0201436003230766,256,9,256
g001308,2fold,1197,154,56,0.00951779149159664,0.0116704985998777,256,4,256
g001310,4fold,1062,142,56,0.0152530929625695,0.0241699155695591,208,8,208
g001310,2fold,1062,147,62,0.011835270169568,0.0163703800322845,208,6,208
g001318,4fold,939,71,28,0.0179062268824138,0.0181072809866768,209.5,3,211
g001318,2fold,939,133,62,0.0228359835350208,0.0245236069908168,211,9,211
g001325,4fold,792,139,80,0.0102213306887847,0.0269087523544627,236,13,236
g001325,2fold,792,64,35,0.000242130750605325,0.00473120920518026,236,1,236
g001328,4fold,786,133,77,0.0344846402510848,0.030853860804159,204,14,204
g001328,2fold,786,79,41,0.0637932212413982,0.0372503929220944,204,9,204
g001339,4fold,747,110,62,0.0422816585641955,0.0316724793768537,254,12,254
g001339,2fold,747,67,38,0.0195807383864826,0.0172263120731388,254,4,254
g001350,4fold,474,61,54,0.014997883340539,0.0272137947288322,257,9,257
g001350,2fold,474,57,54,0.0130129521544891,0.0151187748493512,257,5,257
g001351,4fold,462,73,67,0.0259375502855075,0.0172171814686258,243,7,243
g001351,2fold,462,43,41,0.0120180203944678,0.00803868403064758,243,2,243
g001397,4fold,1233,179,59,0.0173044531003264,0.0209784868383626,161,7,161
g001397,2fold,1233,145,52,0.0041298375537506,0.0136014365215757,161,4,161
g001403,4fold,1077,190,78,0.0042865619924242,0.0251539246422943,255,12,255
g001403,2fold,1077,115,45,0.0104767296244832,0.0145325986657825,255,4,255
g001428,4fold,822,96,59,0.0193126795831385,0.019784574773491,226,7,227
g001428,2fold,822,121,70,0.0156373322138232,0.0190618198277086,226,8,227
g001430,4fold,789,122,61,0.00178905767307608,0.021701798524195,237,8,237
g001430,2fold,789,93,51,0.00197017947563778,0.0227124214946844,237,7,237
g001438,4fold,723,66,41,0.00862378601128876,0.0215490995416049,161,5,162
g001438,2fold,723,91,51,0.00202958752169192,0.0174451376857198,161,5,162
g001451,4fold,753,132,79,0.0120586275816123,0.0295733036590108,96,12,96
g001451,2fold,753,69,33,0.0176103136629452,0.0294986235992658,96,5,96
g001487,4fold,1539,201,50,0.0130887201901695,0.0141338552701196,162,4,162
g001487,2fold,1539,165,46,0.00709634830617817,0.00383966730960505,162,1,162
g001494,4fold,1269,179,61,0.052407563565681,0.0339158783741653,186,12,186
g001494,2fold,1269,195,77,0.00918337692531241,0.00895614104252851,186,4,186
g001500_2,4fold,1182,80,32,0.01171875,0.0282530229804216,16,3,16
g001500_2,2fold,1182,57,19,0.0131578947368421,0.0317226924692453,16,2,16
g001538,4fold,630,93,57,0.00759225655189908,0.0213277387078187,78,6,83
g001538,2fold,630,62,43,0.0110072084013426,0.0189855768634024,78,4,83
g001550,4fold,567,46,34,0.00406834245326038,0.0270669689267203,129,5,129
g001550,2fold,567,24,22,0.0353131606765328,0.0334646161275814,129,4,129
g001557,4fold,2487,395,73,0.0242491071904483,0.0380247542786422,257,17,257
g001557,2fold,2487,332,60,0.00077821011673152,0.0163282768372993,257,6,257
g001564,4fold,1641,301,67,0.0064536766111764,0.00774878114526478,182,3,182
g001564,2fold,1641,164,45,0.00655293141480987,0.00769138276641097,182,2,182
g001572,4fold,1317,156,48,0.0371615842404271,0.0241283631814291,43,5,43
g001572,2fold,1317,199,76,0.00445882147228537,0.00304106237066462,43,1,43
g001573,4fold,1287,258,80,0.0421607256079737,0.0347446331502765,255,17,255
g001573,2fold,1287,103,31,0.00556808956755168,0.010547853870326,255,2,255
g001574,4fold,1494,277,66,0.0174096921808592,0.0230579636311497,209,9,209
g001574,2fold,1494,117,31,0.0155205575409311,0.00545161667946364,209,1,209
g001588,4fold,1062,169,67,0.0150318981855143,0.0228655819642693,200,9,201
g001588,2fold,1062,112,38,0,0,201,0,201
g001590,4fold,1038,191,82,0.0035469899860981,0.0282520364933879,237,14,237
g001590,2fold,1038,88,30,0.00196190612410308,0.0220634951662649,237,4,237
g001598,4fold,933,162,74,0.00577342146428798,0.006671767698019,245,3,245
g001598,2fold,933,103,47,0.000864161499967969,0.0105044853117746,245,3,245
g001601,4fold,843,165,93,0.0197320952181384,0.0212636158230033,243,12,243
g001601,2fold,843,73,44,0.00992168393453977,0.0149811838752978,243,4,243
g001614,4fold,654,105,66,0.0497819640676784,0.0310652836491246,196,12,196
g001614,2fold,654,59,35,0.0299050609254691,0.0195267497223069,196,4,196
g001621,4fold,702,115,70,0.0296358219844358,0.0256587207443275,257,11,257
g001621,2fold,702,81,56,0.0115059581712062,0.0145788186047315,257,5,257
g001632,4fold,528,85,68,0.000973908629161528,0.00497870161608337,207,2,207
g001632,2fold,528,61,51,0.00366388288817708,0.00995740323216675,207,3,207
g001647,4fold,1794,173,44,0,0,86,0,86
g001647,2fold,1794,180,43,0.00111505051112046,0.0093108416570603,86,2,86
g001656,4fold,1581,225,62,0.00614311792958382,0.0192260865889655,86,6,87
g001656,2fold,1581,210,61,0.00855788382635845,0.00651626595860689,86,2,87
g001674,4fold,1080,154,64,0.0123133043516097,0.012834724542558,248,5,248
g001674,2fold,1080,146,64,0.00247169665012407,0.00769878012910893,248,3,248
g001688,4fold,882,150,71,0.0099865994385284,0.0164952957334,231,7,231
g001688,2fold,882,81,52,0.017546221894048,0.0063916489230569,231,2,231
g001694,4fold,876,95,54,0.0373470745027526,0.0540365399932752,117,15,121
g001694,2fold,876,38,19,0.000956937799043059,0.00998106291994894,110,1,121
g001695,4fold,831,128,60,0.0163068675746161,0.0254544351634312,204,9,204
g001695,2fold,831,100,47,0.00786286634976808,0.0216633490752606,204,6,204
g001699,4fold,810,136,74,0.0215391294909367,0.0199488436968889,250,9,250
g001699,2fold,810,76,42,0.00038095238095238,0.00781065837867607,250,2,250
g001706,4fold,894,106,52,0.0314838185841955,0.0430001227212807,117,12,133
g001706,2fold,894,130,69,0.0135657994886276,0.0161709536497211,117,6,133
g001714,4fold,675,81,60,0.0143770617388178,0.0423189637367087,207,15,207
g001714,2fold,675,92,62,0.0187275607420217,0.0218420457995916,207,8,207
g001743,4fold,2556,427,67,0.00877246420956442,0.00666429511797955,50,2,50
g001743,2fold,2556,331,61,0.0136768149882904,0.0109796993337204,50,3,50
g001745_2,4fold,1962,313,70,0,0,2,0,2
g001745_2,2fold,1962,272,73,0,0,2,0,2
g001751,4fold,1617,246,79,0.0107197795960071,0.0211299899320633,225,10,225
g001751,2fold,1617,223,66,0.0226206221946132,0.0227648363766908,225,9,225
g001811,4fold,660,105,73,0.0189823874755382,0.02385683336773,56,8,56
g001811,2fold,660,69,53,0.020681205586866,0.0246445589977966,56,6,56
g001826,4fold,624,109,77,0.00603372662196192,0.0213049722934054,136,9,136
g001826,2fold,624,65,46,0.0108648290233968,0.00396251900143047,136,1,136
g001827,4fold,627,62,43,0.0107240490025227,0.015521258329744,227,4,227
g001827,2fold,627,87,56,0.00555395284567636,0.0119092444347348,227,4,227
g001847,4fold,2577,345,56,0.0717740942530859,0.0595200994817997,51,15,52
g001847,2fold,2577,357,54,0.0402651886965613,0.0411432268696585,52,10,52
g001849,4fold,3135,461,73,0.00212381862588935,0.00543880714473726,87,2,87
g001849,2fold,3135,470,73,0.00828289264096846,0.00815821071710589,87,3,87
g001863,4fold,1419,254,76,0.00903046574139747,0.0172207407587758,254,8,254
g001863,2fold,1419,141,52,0.000745146671199389,0.00314609686939173,254,1,254
g001882,4fold,1140,161,68,0.0629141311697093,0.0890893537152478,30,24,30
g001882,2fold,1140,138,48,0.0270593869731801,0.0368112260142864,30,7,30
g001920,4fold,864,145,70,0.0214188657655725,0.0354591886600685,237,15,237
g001920,2fold,864,89,45,0.0109164302685006,0.0183862459718874,237,5,237
g001996,4fold,1263,231,84,0.0305156110722582,0.0289402118501156,72,12,108
g001996,2fold,1263,113,49,0.0162546051103867,0.0199516917366278,72,5,108
g002000,4fold,1161,166,55,0.0221685659341797,0.0297450370253102,255,10,255
g002000,2fold,1161,122,48,0.00897020225413,0.0102182334368783,255,3,255
g002002,4fold,1218,235,82,0.0105120179531093,0.0091142168237483,119,4,119
g002002,2fold,1218,91,32,0,0,119,0,119
g002008,4fold,1284,228,84,0.0163864107243898,0.0207114283527737,34,6,42
g002008,2fold,1284,75,29,0.0136569345989026,0.00801377952063901,26,1,42
g002014,4fold,1038,186,76,0.0214170802930839,0.0246233893688331,118,10,118
g002014,2fold,1038,115,46,0.000368459837877673,0.00406821215658982,118,1,118
g002015,4fold,1029,166,70,0.0144812702567938,0.004898991099006,192,2,192
g002015,2fold,1029,129,54,0.0161714024364306,0.0111550333780055,192,3,192
g002038,4fold,894,106,61,0.0361275657804105,0.0366980745695691,120,12,120
g002038,2fold,894,135,63,0.0125828109021386,0.0207276161920714,120,7,120
g002041,4fold,885,132,66,0.0271205553209383,0.0230726200877935,208,9,208
g002041,2fold,885,97,51,0.000560146020504077,0.00331642238060707,208,1,208
g002064,4fold,744,102,61,0.0213975208457788,0.0452986261297691,128,15,129
g002064,2fold,744,89,59,0.0138328880857276,0.0249701395041311,129,8,129
g002075,4fold,615,104,79,0.0720337911416351,0.0361736077390141,216,17,216
g002075,2fold,615,57,43,0.0669605678726547,0.0234535990432669,216,6,216
g002097,4fold,2568,327,51,0.0262863376084588,0.0273561707162839,86,7,86
g002097,2fold,2568,266,50,0.000465116279069768,0.00397951525384221,86,1,86
g002112,4fold,1419,236,70,0.0235157699443414,0.0186594518126174,56,6,56
g002112,2fold,1419,172,55,0.0295867768595041,0.0237483932160585,56,6,56
g002130,4fold,1566,236,69,0.0120938785103767,0.0104217008493763,147,4,147
g002130,2fold,1566,216,77,0.00222924964328375,0.00700203760292566,147,3,147
g002138,4fold,1500,276,73,0.0351894680661804,0.02385683336773,56,8,56
g002138,2fold,1500,153,48,0.0239853896103896,0.0136058502800335,56,3,56
g002156,4fold,1011,187,90,0.0139488467172083,0.0187137759203132,118,9,118
g002156,2fold,1011,105,49,0.0236277040151132,0.0190956897146053,118,5,118
g002158,4fold,999,144,58,0.0102745846157722,0.0200094961865828,234,7,235
g002158,2fold,999,134,55,0.000775005592830446,0.0120579754460958,234,4,235
g002164,4fold,972,136,55,0.0363872491145218,0.0197903276800488,56,5,56
g002164,2fold,972,137,69,0.0119612271786185,0.00946493932524072,56,3,56
g002185,4fold,927,150,65,0.0485045822572385,0.0266342092205442,182,10,182
g002185,2fold,927,116,52,0.00845542048261981,0.00998400647562962,182,3,182
g002190,4fold,690,115,69,0.0230963883137796,0.0278594458784387,6,5,36
g002190,2fold,690,50,28,0.00561224489795919,0.00861253152879059,6,1,36
g002196,4fold,645,77,56,0.0125,0.0215775459173017,81,6,81
g002196,2fold,645,91,61,0.00158874721716252,0.00660296487086829,81,2,81
g002198,4fold,642,75,53,0.0014621779619735,0.0100959917645337,153,3,154
g002198,2fold,642,79,58,0.00874039936203004,0.00615643645030637,153,2,154
g002203,4fold,630,102,72,0.0244244463954736,0.0260995619799211,68,9,68
g002203,2fold,630,70,52,0.0116583372729115,0.0160612689107207,68,4,68
g002218,4fold,594,96,71,0.0136865205978674,0.0337498145137429,194,14,194
g002218,2fold,594,59,39,0.0101901196928172,0.00877742428745695,194,2,194
g002242,4fold,2421,214,48,0.0260494324761476,0.015945259742352,106,4,106
g002242,2fold,2421,233,47,0.0344142112305754,0.028490055287086,106,7,106
g002260,4fold,1380,245,85,0.00287176369255713,0.0118632151108793,216,6,216
g002260,2fold,1380,135,46,0.000201288244766507,0.00365352639284327,216,1,216
g002289,4fold,1197,211,76,0.0134207171136511,0.00683116232543079,182,3,182
g002289,2fold,1197,135,51,0.0163150683137683,0.0101797713084851,182,3,182
g002293,4fold,1062,157,61,0.00796551004641143,0.00877533462343314,153,3,153
g002293,2fold,1062,131,61,0,0,153,0,153
g002327,4fold,897,163,78,0.0226845305429864,0.0272311633997147,256,13,256
g002327,2fold,897,83,37,0.0179633677795443,0.0132475930052666,256,3,256
g002337,4fold,663,93,60,0.0645166106756252,0.0650302434726318,95,20,95
g002337,2fold,663,69,43,0.0375218104638142,0.0453699373064873,95,10,95
g002399_1,4fold,2172,283,55,0.0366687857596948,0.0365484071816476,11,6,13
g002399_1,2fold,2172,254,53,0.0188679245283019,0.0182403901811602,13,3,13
g002399_2,4fold,3084,452,59,0.0213075060532688,0.0288896575579384,7,4,7
g002399_2,2fold,3084,449,61,0.00936768149882904,0.0133824021411843,7,2,7
g002399_3,4fold,2820,287,44,0.159090909090909,0.159090909090909,2,7,2
g002399_3,2fold,2820,246,33,0.0303030303030303,0.0303030303030303,2,1,2
g002403,4fold,2526,415,64,0.00130208333333333,0.00704151748740085,48,2,48
g002403,2fold,2526,333,64,0.00397550975177305,0.00352075874370043,48,1,48
g002405,4fold,2427,339,64,0.0247311827956989,0.0156446060905335,31,4,31
g002405,2fold,2427,356,68,0.015876027830487,0.0110432513580236,31,3,31
g002409,4fold,2022,329,61,0.014771652985333,0.0126018831353956,29,3,29
g002409,2fold,2022,269,54,0.0122240467068053,0.00943097121809729,29,2,29
g002413,4fold,1668,276,82,0.00307289513573102,0.0052303620492391,60,2,60
g002413,2fold,1668,210,56,0,0,60,0,60
g002421,4fold,1716,240,55,0.0108718070759956,0.0218227785319358,192,7,192
g002421,2fold,1716,229,56,0.00959957772375966,0.012247477747515,192,4,192
g002427,4fold,1446,238,77,0.00368368691350058,0.00539042250260264,70,2,70
g002427,2fold,1446,172,56,0.00100561963916001,0.00370591547053931,70,1,70
g002428,4fold,1395,264,85,0.00778851517778854,0.0176791809864223,225,9,225
g002428,2fold,1395,122,35,0.000509070294784581,0.00954152619150067,225,2,225
g002435,4fold,1545,241,70,0.0533737632984228,0.0557573341675159,204,23,204
g002435,2fold,1545,180,52,0.0349601379013144,0.0456874477292354,204,14,204
g002438,4fold,1296,243,89,0.0186360379770771,0.0275547867960764,255,15,255
g002438,2fold,1296,108,37,0.024722823796469,0.0220934777013585,255,5,255
g002443,4fold,1158,177,63,0.0242577651215525,0.0293486654184776,43,8,43
g002443,2fold,1158,148,44,0.019178495922682,0.0157582322843531,43,3,43
g002445,4fold,1167,140,53,0.0648359632821342,0.0910029154010934,36,20,37
g002445,2fold,1167,150,60,0.0450290626761215,0.0562696798225587,36,14,37
g002467,4fold,1014,126,59,0.106370543541788,0.0898443482382584,30,21,30
g002467,2fold,1014,154,67,0.049408131755018,0.045209522780872,30,12,30
g002469,4fold,1008,155,74,0.00402530189764233,0.0232338067573159,189,10,189
g002469,2fold,1008,124,56,0.00440448046831026,0.012280726428867,189,4,189
g002488,4fold,819,127,64,0.0132776401386187,0.0153077595349681,257,6,257
g002488,2fold,819,106,60,0.0154030885214008,0.0163282768372993,257,6,257
g002490,4fold,900,135,63,0.0594220594220594,0.032129522978046,79,10,79
g002490,2fold,900,100,53,0.0337185304942649,0.0190958485624236,79,5,79
g002491,4fold,804,82,44,0.0207130124777184,0.0252569854210204,51,5,51
g002491,2fold,804,81,44,0.000891265597147951,0.00505139708420409,51,1,51
g002496,4fold,903,158,78,0.00344809839946477,0.0104802394224393,255,5,255
g002496,2fold,903,97,55,0.00668491304897048,0.0118922225850642,255,4,255
g002517,4fold,771,137,82,0.00280907611456055,0.0126626423593351,182,6,182
g002517,2fold,771,81,37,0.000590718822763021,0.00467719222281748,182,1,182
g002554,4fold,483,64,54,0.0182747909199522,0.0171419383513678,125,5,125
